ID,TestName,Status,Type,US_ID,TC_ID,Artifact,ExecutionTime
59,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_085843.png",2025-09-25 08:58:43
60,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_085843.png",2025-09-25 08:58:43
61,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250925_094707.json",2025-09-25 09:47:07
62,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250925_094708.json",2025-09-25 09:47:08
63,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250925_094708.json",2025-09-25 09:47:08
64,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250925_094708.json",2025-09-25 09:47:08
65,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250925_094708.json",2025-09-25 09:47:08
66,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250925_094708.json",2025-09-25 09:47:08
67,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250925_094708.json",2025-09-25 09:47:08
68,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_094708.json",2025-09-25 09:47:08
69,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250925_094708.json",2025-09-25 09:47:08
70,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250925_094708.json",2025-09-25 09:47:09
71,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_094710.png",2025-09-25 09:47:10
